-13.800000 67.642827  -13.800000 67.563954  -13.800000 67.505365  -13.800000 67.571717 
-13.700000 67.768450  -13.700000 67.822606  -13.700000 67.717338  -13.700000 67.617691 
-13.600000 67.397409  -13.600000 67.464126  -13.600000 67.914023  -13.600000 67.596971 
-13.500000 68.073748  -13.500000 67.871005  -13.500000 67.927994  -13.500000 67.810646 
-13.400000 68.055014  -13.400000 68.185830  -13.400000 68.087337  -13.400000 67.822818 
-13.300000 67.117092  -13.300000 68.153773  -13.300000 68.015270  -13.300000 68.048197 
-13.200000 68.712709  -13.200000 67.910366  -13.200000 68.000000  -13.200000 67.969478 
-13.100000 68.811678  -13.100000 68.457491  -13.100000 68.003529  -13.100000 68.121353 
-13.000000 68.696779  -13.000000 68.864419  -13.000000 68.457776  -13.000000 68.218430 
-12.900000 69.885647  -12.900000 68.564621  -12.900000 68.249009  -12.900000 68.309660 
-12.800000 69.968083  -12.800000 68.704719  -12.800000 68.335223  -12.800000 68.432543 
-12.700000 68.511263  -12.700000 68.449274  -12.700000 68.383235  -12.700000 68.508460 
-12.600000 68.970157  -12.600000 68.648264  -12.600000 68.647537  -12.600000 68.557402 
-12.500000 69.182591  -12.500000 69.172732  -12.500000 68.487924  -12.500000 68.638843 
-12.400000 69.132902  -12.400000 69.017331  -12.400000 68.837894  -12.400000 68.765740 
-12.300000 69.757604  -12.300000 69.524583  -12.300000 68.908131  -12.300000 68.873309 
-12.200000 69.322185  -12.200000 69.047684  -12.200000 69.199275  -12.200000 69.072276 
-12.100000 69.847563  -12.100000 68.679488  -12.100000 69.166320  -12.100000 69.141711 
-12.000000 70.301328  -12.000000 69.166558  -12.000000 69.255551  -12.000000 69.171128 
-11.900000 69.556612  -11.900000 69.470700  -11.900000 69.288794  -11.900000 69.144690 
-11.800000 68.802659  -11.800000 69.594544  -11.800000 69.201920  -11.800000 69.359243 
-11.700000 69.148259  -11.700000 69.602295  -11.700000 69.445696  -11.700000 69.399582 
-11.600000 70.610995  -11.600000 69.494326  -11.600000 69.531212  -11.600000 69.433705 
-11.500000 70.972950  -11.500000 70.045077  -11.500000 69.831193  -11.500000 69.595844 
-11.400000 70.286159  -11.400000 69.983570  -11.400000 70.017803  -11.400000 69.556794 
-11.300000 70.202725  -11.300000 70.080807  -11.300000 69.771274  -11.300000 69.766347 
-11.200000 70.239913  -11.200000 70.266199  -11.200000 69.766552  -11.200000 69.972756 
-11.100000 70.920363  -11.100000 70.760341  -11.100000 70.298388  -11.100000 69.929141 
-11.000000 70.584604  -11.000000 70.100448  -11.000000 70.175462  -11.000000 70.061456 
-10.900000 70.318289  -10.900000 70.924132  -10.900000 70.331309  -10.900000 70.094568 
-10.800000 70.426708  -10.800000 71.119641  -10.800000 70.521847  -10.800000 70.390288 
-10.700000 71.385188  -10.700000 70.180104  -10.700000 70.489631  -10.700000 70.313417 
-10.600000 71.604763  -10.600000 71.042215  -10.600000 70.428779  -10.600000 70.593606 
-10.500000 71.937425  -10.500000 70.965224  -10.500000 70.786681  -10.500000 70.492900 
-10.400000 71.161403  -10.400000 70.708525  -10.400000 71.000518  -10.400000 70.745011 
-10.300000 71.850195  -10.300000 70.812683  -10.300000 71.093475  -10.300000 70.779296 
-10.200000 71.158579  -10.200000 71.215064  -10.200000 71.024243  -10.200000 70.801478 
-10.100000 71.629648  -10.100000 71.037846  -10.100000 71.283539  -10.100000 70.896207 
-10.000000 71.321869  -10.000000 71.683764  -10.000000 71.259069  -10.000000 70.917294 
-9.900000 71.929047  -9.900000 70.863099  -9.900000 71.400740  -9.900000 71.104276 
-9.800000 71.193053  -9.800000 71.155225  -9.800000 71.209499  -9.800000 71.132371 
-9.700000 71.802943  -9.700000 71.449802  -9.700000 71.478058  -9.700000 71.285829 
-9.600000 71.661014  -9.600000 71.497074  -9.600000 71.757307  -9.600000 71.431436 
-9.500000 72.139781  -9.500000 71.709327  -9.500000 71.766670  -9.500000 71.445688 
-9.400000 71.308249  -9.400000 71.936729  -9.400000 71.646893  -9.400000 71.542711 
-9.300000 72.217589  -9.300000 72.117336  -9.300000 71.723274  -9.300000 71.626058 
-9.200000 72.973457  -9.200000 71.739195  -9.200000 71.744391  -9.200000 71.671319 
-9.100000 72.793119  -9.100000 72.629309  -9.100000 72.290647  -9.100000 71.829284 
-9.000000 73.606421  -9.000000 72.115824  -9.000000 71.904771  -9.000000 71.977530 
